brand_name,model_name,price_in_inr,customer_rating,safety_rating,annual_sales_2024,mileage_min(kmpl),mileage_max(kmpl),min_BHP,max_BHP,sales_status
Mercedes-Benz,"AMG SL55 Roadster",24700000,NULL,5,0,NULL,NULL,469,469,"No sales"
Mercedes-Benz,"AMG A45 S",9480000,4.7,5,0,12,12,421,421,"No sales"
Mercedes-Benz,"AMG GT 63 S E Performance",33000000,4.4,5,0,NULL,NULL,639,843,"No sales"
Mercedes-Benz,"AMG GLE Coupe",18800000,4.8,5,0,NULL,NULL,429,429,"No sales"
Mercedes-Benz,"AMG E53 Cabriolet",13000000,4.8,5,0,NULL,NULL,429,429,"No sales"
Mercedes-Benz,"Maybach EQS SUV",23500000,NULL,5,0,NULL,NULL,NULL,NULL,"No sales"
Mercedes-Benz,"EQE SUV",14100000,NULL,5,0,NULL,NULL,NULL,NULL,"No sales"
Mercedes-Benz,"AMG S 63 E Performance",33000000,4.8,5,0,NULL,NULL,794,794,"No sales"
Mercedes-Benz,"AMG GT 63 S 4MATIC Plus",27000000,4.9,5,0,8,8,630,630,"No sales"
Mercedes-Benz,"AMG C 63 S E Performance",19500000,NULL,5,0,NULL,NULL,469,469,"No sales"
Mercedes-Benz,"AMG EQS",24500000,NULL,5,0,NULL,NULL,NULL,NULL,"No sales"
Honda,Elevate,1195000,4.6,NULL,33642,15,16,119,119,Sold
Honda,City,1242000,4.6,5,16925,17,18,119,119,Sold
Honda,Amaze,814000,4.7,NULL,36017,18,19,89,89,Sold
Honda,"Amaze 2nd Gen",766000,4.3,4,0,18,24,79,98,"No sales"
Honda,"City Hybrid eHEV",2089000,4.6,NULL,0,27,27,97,97,"No sales"
MG,"Windsor EV",1200000,4.6,NULL,0,NULL,NULL,NULL,NULL,"No sales"
MG,Hector,1425000,4.5,NULL,27435,NULL,NULL,141,170,Sold
MG,"Comet EV",617000,4.4,NULL,0,NULL,NULL,NULL,NULL,"No sales"
MG,"ZS EV",1550000,4.1,5,6298,NULL,NULL,NULL,NULL,Sold
MG,Astor,1130000,4.2,NULL,10569,NULL,NULL,108,138,Sold
MG,"Hector Plus",1750000,4.4,NULL,0,16,16,141,168,"No sales"
MG,Gloster,4107000,4.2,5,2450,12,13,158,213,Sold
"Land Rover",Defender,10500000,4.8,5,1454,6,40,296,626,Sold
"Land Rover","Range Rover Velar",8790000,4.8,5,756,NULL,NULL,201,247,Sold
"Land Rover","Range Rover Sport",14500000,4.8,5,0,11,11,346,626,"No sales"
"Land Rover","Range Rover",24000000,4.7,NULL,0,8,13,334,606,"No sales"
"Land Rover","Range Rover Evoque",6950000,4.7,5,0,10,14,177,247,"No sales"
"Land Rover","Discovery Sport",6790000,4.2,5,0,10,13,201,247,"No sales"
"Land Rover",Discovery,13400000,4.7,5,0,8,13,237,355,"No sales"
Renault,Triber,615000,4.5,4,22446,18,19,71,71,Sold
Renault,Kwid,470000,4.4,1,10168,21,22,67,67,Sold
Renault,Kiger,615000,4.5,4,12825,17,21,71,99,Sold
Citroen,C3,623000,4.4,NULL,4474,18,19,80,109,Sold
Citroen,Basalt,832000,4.6,4,0,18,19,80,108,"No sales"
Citroen,Aircross,862000,4.6,NULL,1832,17,18,80,109,Sold
Citroen,eC3,1284000,4.4,NULL,2056,NULL,NULL,NULL,NULL,Sold
Citroen,"C5 Aircross",3999000,4.1,4,56,17,17,174,174,Sold
Jeep,Compass,1899000,4.2,5,1768,13,17,161,172,Sold
Jeep,Meridian,2499000,4.4,NULL,1298,14,16,168,168,Sold
Jeep,Wrangler,6765000,4.8,NULL,345,10,11,268,268,Sold
Jeep,"Grand Cherokee",6750000,4.3,NULL,123,NULL,NULL,268,268,Sold
Audi,Q3,4499000,4.7,5,0,14,14,188,192,"No sales"
Audi,A4,4699000,4.7,5,0,17,17,188,201,"No sales"
Audi,A6,6572000,4.7,5,0,14,14,241,261,"No sales"
Audi,Q7,8870000,4.5,5,0,NULL,NULL,335,335,"No sales"
